FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.1899,POINT (668229.587206453 5792743.15503446),POINT (16031000 47459000),NIJKWT,HWS_DONAR_SGG,2021-03-05T02:01:47.674
locaties.1900,POINT (633923.664937243 5804978.3354295),POINT (12642500 48795000),SCHELLWDBG,HWS_DONAR_SGG,2021-03-05T02:01:51.725
locaties.1901,POINT (712412.331271832 5749795.12539791),POINT (6050508 51513046),LOBHVN,HWS_DONAR_SGG,2021-03-05T02:02:20.255
locaties.1902,POINT (709937.22388381 5682026.05970897),POINT (19837000 36258000),BUGGNHSMWD,HWS_DONAR_SGG,2021-03-05T02:02:25.102
locaties.1903,POINT (667719.477985978 5854058.22061579),POINT (16182800 53588700),IJSSMMPL09,HWS_DONAR_SGG,2021-03-05T02:02:44.938
locaties.1904,POINT (651365.946936567 5822570.75324908),POINT (14444000 50495800),IJSSMMPL42,HWS_DONAR_SGG,2021-03-05T02:02:50.734
locaties.1905,POINT (642579.612331985 5860301.70817146),POINT (13690800 54296200),IJSSMMPL48,HWS_DONAR_SGG,2021-03-05T02:02:54.433
locaties.1906,POINT (641888.421071482 5859906.58322125),POINT (13620400 54259000),IJSSMMPL49,HWS_DONAR_SGG,2021-03-05T02:02:58.102
locaties.1907,POINT (672716.977400662 5847348.26704812),POINT (16660000 52901500),IJSSMMPL02,HWS_DONAR_SGG,2021-03-05T02:03:01.792
locaties.1908,POINT (649545.479036754 5864798.13727849),POINT (14402000 54722500),IJSSMMPL47,HWS_DONAR_SGG,2021-03-05T02:03:03.553
locaties.1909,POINT (668717.997036808 5753246.42869297),POINT (15950000 43510000),TIELKNL,HWS_DONAR_SGG,2021-03-05T02:03:09.504
locaties.1910,POINT (659087.710003477 5760104.33011342),POINT (15010000 44227000),WIJKBDSDKNL,HWS_DONAR_SGG,2021-03-05T02:03:13.537
locaties.1911,POINT (639563.844819143 5777881.76976207),POINT (13117000 46068000),MAARSSN,HWS_DONAR_SGG,2021-03-05T02:03:19.57
locaties.2118,POINT (612149.533180234 5738065.58111303),POINT (10246000 42178000),GRAVDHVN,HWS_DONAR_SGG,2021-03-11T15:50:05.288
